,rank_ic
2023-11-23,0.1927356093568518
2023-11-24,0.1413831867940084
2023-11-27,0.05589126601551451
2023-11-28,0.05205464558473485
2023-11-29,0.03250429028108543
2023-11-30,-0.02800379690770301
2023-12-01,-0.05175719615833545
2023-12-04,-0.09746286769942908
2023-12-05,-0.060258438147616694
2023-12-06,0.016096445891747246
2023-12-07,0.08106833486793405
2023-12-08,0.22655684832395323
2023-12-11,0.23470154970572546
2023-12-12,0.25052190868222923
2023-12-13,0.12642465042465043
2023-12-14,0.13195780795780798
2023-12-15,0.11349429199572818
2023-12-18,0.0856052475460038
2023-12-19,0.009279182990605834
2023-12-20,-0.07681481281481282
2023-12-21,-0.10628493428493428
